id,jurisdiction,limb,determination,edge_tested,document,parties_roles,purpose,basis,authority,source_obtained_from,desiatnik_ref,primary_source_checked,own_words_confirmed,expert_validated,notes
AU-C3-01,AU,legal_advice; litigation,,dominant_purpose,,,,,Esso Australia Resources Ltd v Federal Commissioner of Taxation (1999) 201 CLR 49,,Ch3,no,no,pending,
AU-C3-02,AU,legal_advice,,purpose_test_historical (sole→dominant; do NOT label outcome under sole-purpose),,,,,Grant v Downs (1976) 135 CLR 674,,Ch3,no,no,pending,
AU-C3-03,AU,legal_advice,,applies_beyond_courtroom_substantive_right,,,,,Baker v Campbell (1983) 153 CLR 52,,Ch3,no,no,pending,
AU-C3-04,AU,legal_advice,,copies_of_documents,,,,,Commissioner of Australian Federal Police v Propend Finance Pty Ltd (1997) 188 CLR 501,,Ch3,no,no,pending,
AU-C3-05,AU,legal_advice,,third_party_agent_document,,,,,Pratt Holdings Pty Ltd v Commissioner of Taxation (2004) 136 FCR 357,,Ch3,no,no,pending,
AU-C3-06,AU,legal_advice; litigation,,categories_of_protected_communications,,,,,Trade Practices Commission v Sterling (1979) 36 FLR 244,,Ch3,no,no,pending,
AU-C3-07,AU,legal_advice,,nature_as_substantive_right,,,,,Attorney-General (NT) v Maurice (1986) 161 CLR 475,,Ch3,no,no,pending,
AU-C3-08,AU,legal_advice,,rationale_and_scope,,,,,Carter v Northmore Hale Davy & Leake (1995) 183 CLR 121,,Ch3,no,no,pending,
AU-C3-09,AU,n/a (definition),,meaning_of_dominant_purpose,,,,,Federal Commissioner of Taxation v Spotless Services Ltd (1996) 186 CLR 404,,Ch3,no,no,pending,
AU-C3-10,AU,legal_advice,,who_is_a_lawyer / independent_advice,,,,,Kennedy v Wallace (2004) 142 FCR 185,,Ch3,no,no,pending,
AU-C3-11,AU,legal_advice,,government_and_salaried_lawyers,,,,,Waterford v Commonwealth (1987) 163 CLR 54,,Ch3,no,no,pending,
AU-C3-12,AU,litigation,,litigation_privilege_dominant_purpose,,,,,Australian Rugby Union Ltd v Hospitality Group Pty Ltd (1999) 165 ALR 253,,Ch3,no,no,pending,
AU-C3-13,AU,litigation,,litigation_anticipated_dominant_purpose,,,,,Mitsubishi Electric Australia Pty Ltd v Victorian WorkCover Authority (2002) 4 VR 332,,Ch3,no,no,pending,
AU-C3-14,AU,litigation,,third_party_experts_litigation,,,,,Australian Securities & Investments Commission v Southcorp Ltd (2003) 130 FCR 406,,Ch3,no,no,pending,
AU-C3-15,AU,legal_advice,,seizure_statutory_powers,,,,,Jacobsen v Rogers (1995) 182 CLR 572,,Ch3,no,no,pending,
